"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2"
"1",0.6,0,0,0,0,0,0,0,0,0,0.6,0,0,-0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"2",0,0.6,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
"3",0,0.6,0.6,0,0,0.6,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0
"4",0,0,0,0.6,0,0,0,0.6,0.6,0.6,0,0,0,0.6,0,0,0,0,0.6,0.6,0,0,0,0.6,0,0,0,0,0.6,0.6
"5",0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0
"6",0,0,0,0,0,0.6,0,0,0,0,0,-0.6,0,0,0,0.6,0,0,0,0,0.6,0,0,0,0,0.6,0,0,0,0
"7",0,0.6,0,0.6,0,0,0.6,0,0,0,0,0.6,0,-0.6,0,0,0.6,0,0,0,0,0.6,0,0,0,0,0.6,0,0,0
"8",0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.6,0,0,0,0,0,0.6,0,0
"9",0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0,0,0,0,0.6,0
"10",0,0.6,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0,0,0,0,0.6
